Artista,Género,Tipo,Nombre,Año,ID
Jean Carlos,latin pop,track,Tu Vas a Volar,2000,5aarNSF6jcTWgC8L25kpYi
Los Tucanes De Tijuana,latin pop,track,Cien Por Uno,2000,64VeKDD6z3P2UnDl8nphc4
Rodrigo,latin pop,track,Por Lo Que Yo Te Quiero,2000,5i9yLs9LPercK6BJgj87gj
Alejandro Sanz,latin pop,track,Una noche (feat. The Corrs),2000,1QHK82whaHGYWfARl21hUs
Rodrigo,latin pop,track,Aprendiz,2000,3zOKIMB5FOUtlhYB3nqEJY
Walter Olmos,latin pop,track,Adicto A Ti,2000,53p8lIxLmoCoBINK0zuQ4G
Thalia,latin pop,track,Rosalinda,2000,4KufWaE6epxrctKlrfVsQh
Fey,latin pop,track,Azúcar Amargo,2000,2arXuCWrLfgcELqYogQDbt
Luisito Muñoz,latin pop,track,Si Supieras,2000,5r6tP7am1kGACxGbLhKIUg
Rodrigo,latin pop,track,La mano de Dios (Homenaje a Diego Maradona),2000,6bQkinbnTaWeLtMObzIxf0
Rodrigo,latin pop,track,Yerba Mala,2000,6DAZuerCWNL5TtgKo8M2jl
Luis Alberto Posada,latin pop,track,Corazón Partido,2000,2XjKVBc0FnVE2IQNYusZg5
El Cuarteto De Nos,latin pop,track,Necesito Una Mujer,2000,7d6hieV5hQnqZNYnrYfjob
Luis Miguel,latin pop,track,Tú sólo tú - En vivo,2000,0OcPSZlWFl78HvTOh3aKDj
Walter Olmos,latin pop,track,Amor Fugitivo,2000,5inaJ88bGKl7HkA9S7ktmV
Alejandro Sanz,latin pop,track,"Llega, llegó soledad",2000,7e7ojN0bPRY4b9y7yuE40Y
Celia Cruz,latin pop,track,Por Si Acaso No Regreso,2000,1n52ulXSj7E3GOjcpw1EKF
Nek,latin pop,track,La vida es,2000,2KV7Z8NrqJTSq206nKiGGf
Ana Torroja,latin pop,track,Nada particular,2000,3EL9ISVp1tp06Euqc8492e
